ID,arrival ,BRD,Date/Collection,week,Ave.temp,Age,Month, PenCode,seasonGroup
Dairy14,1_22_2020,BRD,7/14/20,1,72.71,0.76,July,8,Jul-Aug
Dairy17,2_25_2020,Healthy,7/14/20,1,72.71,0.71,July,6,Jul-Aug
Dairy18,2_25_2020,BRD,7/14/20,1,72.71,0.71,July,6,Jul-Aug
Dairy19,2_25_2020,Healthy,7/14/20,1,72.71,0.71,July,6,Jul-Aug
Dairy3,1_6_2020,BRD,7/14/20,1,72.71,0.8,July,10,Jul-Aug
Dairy4,1_6_2020,Healthy,7/14/20,1,72.71,0.8,July,10,Jul-Aug
Dairy6,1_22_2020,Healthy,7/14/20,1,72.71,0.76,July,8,Jul-Aug
Dairy68,3_12_2020,BRD,7/14/20,1,72.71,0.62,July,3,Jul-Aug
Dairy7,1_22_2020,BRD,7/14/20,1,72.71,0.76,July,8,Jul-Aug
Dairy76,3_12_2020,Healthy,7/14/20,1,72.71,0.62,July,3,Jul-Aug
Dairy8,1_22_2020,Healthy,7/14/20,1,72.71,0.76,July,10,Jul-Aug
Dairy83,3_12_2020,Healthy,7/14/20,1,72.71,0.62,July,3,Jul-Aug
Dairy9,1_22_2020,Healthy,7/14/20,1,72.71,0.76,July,8,Jul-Aug
Dairy10,1_22_2020,Healthy,7/21/20,2,74,0.78,July,7,Jul-Aug
Dairy11,1_22_2020,BRD,7/21/20,2,74,0.78,July,4,Jul-Aug
Dairy12,1_22_2020,BRD,7/21/20,2,74,0.78,July,7,Jul-Aug
Dairy13,1_22_2020,BRD,7/21/20,2,74,0.78,July,7,Jul-Aug
Dairy133,1_6_2020,BRD,7/21/20,2,74,0.82,July,11,Jul-Aug
Dairy15,2_25_2020,BRD,7/21/20,2,74,0.68,July,4,Jul-Aug
Dairy2,1_6_2020,Healthy,7/21/20,2,74,0.82,July,11,Jul-Aug
Dairy5,1_6_2020,Healthy,7/21/20,2,74,0.82,July,11,Jul-Aug
Dairy62,5_20_2019,Healthy,7/21/20,2,74,1.45,July,0,Jul-Aug
Dairy63,5_20_2019,Healthy,7/21/20,2,74,1.45,July,0,Jul-Aug
Dairy88,5_19_2020,BRD,7/21/20,2,74,0.45,July,0,Jul-Aug
Dairy1,1_6_2020,Healthy,8/12/20,5,43.71,0.88,August,10,Jul-Aug
Dairy115,3_12_2020,Healthy,8/12/20,5,43.71,0.7,August,6,Jul-Aug
Dairy120,3_12_2020,Healthy,8/12/20,5,43.71,0.7,August,6,Jul-Aug
Dairy131,9_30_2019,BRD,8/12/20,5,33.04,1.15,August,10,Jul-Aug
Dairy132,11_21_2019,BRD,8/12/20,5,43.71,1,August,10,Jul-Aug
Dairy20,2_25_2020,Healthy,8/12/20,5,43.71,0.74,August,10,Jul-Aug
Dairy27,3_12_2020,BRD,8/12/20,5,43.71,0.7,August,6,Jul-Aug
Dairy29,3_12_2020,BRD,8/12/20,5,43.71,0.7,August,6,Jul-Aug
Dairy32,3_12_2020,Healthy,8/12/20,5,43.71,0.7,August,5,Jul-Aug
Dairy64,3_12_2020,Healthy,8/12/20,5,43.71,0.7,August,5,Jul-Aug
Dairy65,3_12_2020,BRD,8/12/20,5,43.71,0.7,August,5,Jul-Aug
Dairy111,3_12_2020,BRD,8/19/20,6,66.25,0.72,August,6,Jul-Aug
Dairy24,3_12_2020,Healthy,8/19/20,6,66.25,0.8,August,5,Jul-Aug
Dairy25,3_12_2020,Healthy,8/19/20,6,66.25,0.8,August,6,Jul-Aug
Dairy28,3_12_2020,BRD,8/19/20,6,66.25,0.8,August,6,Jul-Aug
Dairy31,3_12_2020,Healthy,8/19/20,6,66.25,0.8,August,5,Jul-Aug
Dairy94,3_12_2020,BRD,8/19/20,6,66.25,0.72,August,5,Jul-Aug
Dairy22,3_12_2020,Healthy,8/26/20,7,80.29,0.74,August,6,Jul-Aug
Dairy30,3_12_2020,Healthy,8/26/20,7,80.29,0.74,August,6,Jul-Aug
Dairy66,3_12_2020,Healthy,8/26/20,7,80.29,0.74,August,2,Jul-Aug
Dairy67,3_12_2020,BRD,8/26/20,7,80.29,0.74,August,6,Jul-Aug
Dairy70,4_27_2020,Healthy,8/26/20,7,80.29,0.61,August,3,Jul-Aug
Dairy72,4_27_2020,BRD,8/26/20,7,80.29,0.61,August,3,Jul-Aug
Dairy75,4_27_2020,Healthy,8/26/20,7,80.29,0.61,August,1,Jul-Aug
Dairy77,4_27_2020,BRD,8/26/20,7,80.29,0.61,August,2,Jul-Aug
Dairy78,4_27_2020,BRD,8/26/20,7,80.29,0.61,August,3,Jul-Aug
Dairy82,4_27_2020,Healthy,8/26/20,7,80.29,0.61,August,1,Jul-Aug
Dairy84,4_27_2020,Healthy,8/26/20,7,80.29,0.61,August,3,Jul-Aug
Dairy85,4_27_2020,BRD,8/26/20,7,80.29,0.61,August,1,Jul-Aug
Dairy86,4_27_2020,Healthy,8/26/20,7,80.29,0.61,August,2,Jul-Aug
Dairy100,3_12_2020,BRD,9/10/20,9,62.08,0.78,September,8,Sept-Oct
Dairy23,3_12_2020,Healthy,9/10/20,9,62.08,0.78,September,8,Sept-Oct
Dairy26,3_12_2020,Healthy,9/10/20,9,62.08,0.78,September,8,Sept-Oct
Dairy74,4_27_2020,BRD,9/10/20,9,62.08,0.65,September,4,Sept-Oct
Dairy79,4_27_2020,BRD,9/10/20,9,62.08,0.65,September,4,Sept-Oct
Dairy80,4_27_2020,Healthy,9/10/20,9,62.08,0.65,September,4,Sept-Oct
Dairy95,5_19_2020,BRD,9/10/20,9,62.08,0.72,September,3,Sept-Oct
Dairy96,5_19_2020,Healthy,9/10/20,9,62.08,0.72,September,3,Sept-Oct
Dairy97,5_19_2020,Healthy,9/10/20,9,62.08,0.72,September,3,Sept-Oct
