"","Phylum","Class","Order","Family","Genus","Species","Confidence","OTUs"
"ASV11615","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Mannheimia","Mannheimia","0.9795884","18ed2c565150cefb2486652676307e2d"
"ASV8671","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurella","Pasteurella multocida","0.8141280","34e07216eaf862049aedd21b8f284b28"
"ASV9111","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxellaceae","Moraxellaceae","0.9999719","736af28c88d9c4a3bcfcdab573abc05f"
"ASV5169","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","Moraxella boevrei DSM 14165","0.9581575","4c8c897796056dc9a036f69ec381d712"
"ASV8398","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium 1","Corynebacterium xerosis","0.8720288","accccde43fc86696aca738121bbe7dbe"
"ASV4555","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacteriaceae","Microbacteriaceae","0.9928040","0b2b5b487f1d6b85cf9bc00867f37c74"
"ASV10647","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter","Psychrobacter","0.9738754","5d85d1ed69c6d9cc8b5a0ec6319f4186"
"ASV17963","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Weeksellaceae","Weeksellaceae","0.9999999","2161d29d87676f9f1525c3ca3c6e2d87"
"ASV17859","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium","uncultured Veillonellaceae bacterium","0.7668766","bf8174ee3331bbbfaeeb6b46a0d9da5c"
"ASV11414","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium","1.0000000","7d454750f52d9a1d4d1670b1796e35e7"
"ASV1871","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Histophilus","Histophilus","0.9999952","92eb590559be1722f08a6ed0a3813b2a"
"ASV11222","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma bovirhinis","0.9261721","5e22dafa8cf8aae263752621eac29d1e"
"ASV17165","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus","0.9999993","2f3b9a4179f113beb940c0c085f61388"
"ASV3244","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium 1","Corynebacterium glutamicum","0.7318751","9dfe64806b88cf1618e67976ec05d2b2"
"ASV448","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","Moraxella","0.9782304","d6e86aaadfff0f8c72771dd0ba426c14"
"ASV9864","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","Moraxella","0.9998718","c76cc11786ccc5c6829e7cdb34197ebc"
"ASV14694","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","[Eubacterium] coprostanoligenes group","uncultured rumen bacterium","0.8922413","c5f350c9d6c626cf86bdc5cd13785c85"
"ASV3318","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Mannheimia","Mannheimia","0.9641140","8d2e3754220efeddedcb1f29bd579902"
"ASV13679","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium 1","Corynebacterium glutamicum","0.9173333","4ad8db20b074326a0cf62c3f373ebd63"
"ASV14927","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","Moraxella boevrei DSM 14165","0.9910322","c0b7d37f5d80db1484f4a1fbd4766d06"
"ASV934","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","Moraxella bovoculi","0.9547757","abbe347c24c0a3d7e53b62136edd426c"
"ASV14751","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Weeksellaceae","Weeksellaceae","0.9999978","78e09666c2cbb928b1d6abc2beff2df6"
"ASV15951","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter","Psychrobacter","0.9999962","26b49807524ea843053eb0ed326b69eb"
"ASV10065","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacteriaceae","Corynebacteriaceae","0.9999983","97bd8e71f8d020210ee4affe0a3952dd"
"ASV10560","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma dispar","0.9871721","daba6651b05139322b84740581dd448e"
"ASV9085","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerosphaera","uncultured bacterium","0.8545267","dcf6e0b538afafafbc0ceaa44bf57cf2"
"ASV14048","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxellaceae","Moraxellaceae","0.9999761","12facd7d7473a9742021089f4803d6a5"
"ASV14820","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter","0.9999996","e8f5731998f7f28d52964a86f7b8a8d4"
"ASV4935","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter lwoffii","0.8636195","c22b16cc6108c04f29fea3b6d4c81571"
"ASV12992","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Bergeyella","Bergeyella","0.9987220","b165eef2ac83e1616fd2aebca635c0c5"
"ASV8531","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter","Psychrobacter","0.8013349","edac41df0daf00e30983ab377d714683"
"ASV4600","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Caviibacter","uncultured bacterium","0.9440242","7bcec546566b5225f0ef0ff9756907b4"
"ASV14532","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planococcaceae","Planococcaceae","0.9990479","643078f0284faa2290e9c14697d29c4d"
"ASV8427","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Weeksella","uncultured bacterium","0.9999238","930068fd8aa3cfe56c6c6a29cd028ac2"
"ASV3129","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter","0.9999996","47df8e122dd7af8634d1d97ce78f44f6"
"ASV13707","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma bovis","0.7454989","2c6a861acb36a200358ccdc2d1ac5e86"
"ASV2177","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium","1.0000000","a9b24370bdb02a8ee91855de7b8b2813"
"ASV15731","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-001","uncultured rumen bacterium","0.7068510","17b8a6015877d2e9086bd7a7fe68862e"
"ASV9388","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Jeotgalibaca","uncultured bacterium","0.7770649","72b4455586688d0863143a3e0bb71316"
"ASV17801","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Filobacterium","Filobacterium","0.9706737","e227ee6ee9b509c137f495212a815e55"
"ASV11","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto 1","Clostridium sensu stricto 1","0.9998362","9acb555d3c5dd77e9035a661e7ad1bb6"
"ASV10164","Patescibacteria","Gracilibacteria","Absconditabacteriales (SR1)","uncultured bacterium","uncultured bacterium","uncultured bacterium","0.8160251","2c37c2e307a52bbde605ac567ed53b75"
"ASV9297","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Mannheimia","Mannheimia","0.8355845","ea4fbd3945972e9d94934f4c3ce41bc5"
"ASV2994","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","uncultured","uncultured","0.9999051","ca22c3c2d7b539195ba89ad5081f6764"
"ASV6816","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium necrophorum subsp. necrophorum","0.9839321","6db820962a5bf3ba7e0fe7f3f9dcc994"
"ASV3751","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma bovoculi M165/69","0.9949498","7e64b255ff84d5e47f5b6547612b0a7c"
"ASV2830","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Mannheimia","Mannheimia","0.9681418","79dbcb617cda5b4a6b143d4758e772bc"
"ASV17312","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibacter","0.9999543","4fb009d9dba15d0e6be1d136a691869f"
"ASV4143","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Jeotgalicoccus","Jeotgalicoccus","0.9990688","64b9367fe606a69e030e254dbd9bf9d9"
