,sp1_name,sp2_name,sp1,sp2,sp1_inc,sp2_inc,obs_cooccur,prob_cooccur,exp_cooccur,p_lt,p_gt,Species.x,Confidence,OTUs,sig,Phylum,Class,Order,Family,Genus,Species.y
1,ITS141,ASV13707,141,1145,17,36,15,0.202,11.1,0.99784,0.01611,Mycoplasma bovis,0.7454989,2c6a861acb36a200358ccdc2d1ac5e86,Positive,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium_wieringae
2,ITS238,ASV13707,238,1145,14,36,13,0.167,9.2,0.99913,0.01096,Mycoplasma bovis,0.7454989,2c6a861acb36a200358ccdc2d1ac5e86,Positive,Ascomycota,Dothideomycetes,Pleosporales,Coniothyriaceae,Coniothyrium,Coniothyrium
3,ITS240,ASV13707,240,1145,18,36,15,0.214,11.8,0.99013,0.04732,Mycoplasma bovis,0.7454989,2c6a861acb36a200358ccdc2d1ac5e86,Positive,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces,Wickerhamomyces_anomalus
4,ITS591,ASV13707,591,1145,10,36,10,0.119,6.5,1,0.00869,Mycoplasma bovis,0.7454989,2c6a861acb36a200358ccdc2d1ac5e86,Positive,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,Sarocladium_implicatum
5,ITS83,ASV13707,83,1145,25,36,20,0.298,16.4,0.99168,0.03586,Mycoplasma bovis,0.7454989,2c6a861acb36a200358ccdc2d1ac5e86,Positive,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida_boleticola
6,ITS124,ASV13707,124,1145,19,36,9,0.226,12.4,0.04085,0.99014,Mycoplasma bovis,0.7454989,2c6a861acb36a200358ccdc2d1ac5e86,Negative,Ascomycota,Dothideomycetes,Capnodiales,Capnodiales,Capnodiales,Capnodiales
7,ITS13,ASV2171,13,1722,47,2,0,0.031,1.7,0.01886,1,Mycoplasma bovis,0.7502287,bd4c114866d524ae2b66ebab69f97490,Negative,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporiaceae,Cladosporiaceae
8,ITS14,ASV2171,14,1722,43,2,0,0.028,1.6,0.04444,1,Mycoplasma bovis,0.7502287,bd4c114866d524ae2b66ebab69f97490,Negative,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella_tassiana
9,ITS29,ASV13707,29,1145,9,36,3,0.107,5.9,0.0359,0.99457,Mycoplasma bovis,0.7454989,2c6a861acb36a200358ccdc2d1ac5e86,Negative,Ascomycota,Dothideomycetes,Capnodiales,Capnodiales,Capnodiales,Capnodiales
10,ITS5,ASV2171,5,1722,51,2,0,0.034,1.9,0.00404,1,Mycoplasma bovis,0.7502287,bd4c114866d524ae2b66ebab69f97490,Negative,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium_sphaerospermum
11,ITS832,ASV13707,832,1145,3,36,0,0.036,2,0.03694,1,Mycoplasma bovis,0.7454989,2c6a861acb36a200358ccdc2d1ac5e86,Negative,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia_myanmarensis
12,ITS881,ASV13707,881,1145,5,36,1,0.06,3.3,0.04345,0.99666,Mycoplasma bovis,0.7454989,2c6a861acb36a200358ccdc2d1ac5e86,Negative,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Leptosphaeria,Leptosphaeria_avenaria
13,ITS9,ASV2171,9,1722,44,2,0,0.029,1.6,0.03704,1,Mycoplasma bovis,0.7502287,bd4c114866d524ae2b66ebab69f97490,Negative,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,unidentified,unidentified
