"","sp2_name","sp1_name","sp1","sp2","sp1_inc","sp2_inc","obs_cooccur","prob_cooccur","exp_cooccur","p_lt","p_gt","PhylumITS","ClassITS","OrderITS","FamilyITS","GenusITS","SpeciesITS","Phylum16S","Class16S","Order16S","Family16S","Genus16S","Species16S"
"1","ASV10040","ITS87",87,2066,21,7,0,0.049,2.7,0.02651,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Meyerozyma","Meyerozyma_athensensis","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Paracoccus"
"2","ASV10075","ITS104",104,2195,9,15,0,0.045,2.5,0.043,1,"Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Sporobolomyces","Sporobolomyces_roseus","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema 2","Treponema succinifaciens DSM 2489"
"3","ASV10075","ITS323",323,2195,9,15,0,0.045,2.5,0.043,1,"Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","Cyphellophora_fusarioides","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema 2","Treponema succinifaciens DSM 2489"
"4","ASV10090","ITS410",410,1723,7,19,0,0.044,2.4,0.04114,1,"Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula","Rhodotorula_mucilaginosa","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Atopostipes","uncultured bacterium"
"5","ASV10141","ITS904",904,1869,5,26,0,0.043,2.4,0.03414,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Millerozyma","Millerozyma_farinosa","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","uncultured bacterium"
"6","ASV10164","ITS909",909,1151,2,49,0,0.032,1.8,0.0101,1,"Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_truncatum","Patescibacteria","Gracilibacteria","Absconditabacteriales (SR1)","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"7","ASV10191","ITS575",575,1193,2,48,0,0.032,1.7,0.01414,1,"Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Trichomerium","Trichomerium_dioscoreae","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae R-7 group","uncultured Clostridiales bacterium"
"8","ASV10191","ITS909",909,1193,2,48,0,0.032,1.7,0.01414,1,"Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_truncatum","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae R-7 group","uncultured Clostridiales bacterium"
"9","ASV10221","ITS111",111,1451,11,12,0,0.044,2.4,0.04807,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Wickerhamomyces","Wickerhamomyces","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas"
"10","ASV10259","ITS988",988,1191,4,31,0,0.041,2.3,0.03116,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","uncultured","Chishuiella sp. YIM 102668"
