"","sp2_name","sp1_name","sp1","sp2","sp1_inc","sp2_inc","obs_cooccur","prob_cooccur","exp_cooccur","p_lt","p_gt","PhylumITS","ClassITS","OrderITS","FamilyITS","GenusITS","SpeciesITS","Phylum16S","Class16S","Order16S","Family16S","Genus16S","Species16S"
"1","ASV10040","ITS15",15,2066,15,13,0,0.037,2.7,0.03658,1,"Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum","Exserohilum_turcicum","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Paracoccus"
"2","ASV10040","ITS396",396,2066,17,13,0,0.041,3,0.02191,1,"Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","Phaeosphaeria_ampeli","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Paracoccus"
"3","ASV10040","ITS626",626,2066,14,13,0,0.034,2.5,0.04691,1,"Ascomycota","Dothideomycetes","Capnodiales","Capnodiales","Capnodiales","Capnodiales","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Paracoccus"
"4","ASV10040","ITS100",100,2066,18,13,0,0.044,3.2,0.01682,1,"Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","Ophiostoma","Ophiostoma_denticiliatum","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Paracoccus"
"5","ASV10095","ITS451",451,1768,13,17,0,0.041,3,0.02191,1,"Neocallimastigomycota","Neocallimastigomycetes","Neocallimastigales","Neocallimastigaceae","Piromyces","unidentified","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella 9","Prevotella 9"
"6","ASV10095","ITS711",711,1768,13,17,0,0.041,3,0.02191,1,"Ascomycota","Sordariomycetes","Microascales","Microascaceae","Lophotrichus","Lophotrichus_fimeti","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella 9","Prevotella 9"
"7","ASV10103","ITS685",685,2238,6,29,0,0.033,2.4,0.04147,1,"Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Iodophanus","Iodophanus_testaceus","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","[Eubacterium] coprostanoligenes group","[Eubacterium] coprostanoligenes group"
"8","ASV10103","ITS859",859,2238,6,29,0,0.033,2.4,0.04147,1,"Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Leptospora","unidentified","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","[Eubacterium] coprostanoligenes group","[Eubacterium] coprostanoligenes group"
"9","ASV10146","ITS1092",1092,1425,3,48,0,0.027,2,0.03698,1,"Basidiomycota","Microbotryomycetes","Microbotryomycetes_ord_Incertae_sedis","Microbotryomycetes_fam_Incertae_sedis","Curvibasidium","Curvibasidium_cygneicollum","Deinococcus-Thermus","Deinococci","Deinococcales","Trueperaceae","Truepera","Truepera"
"10","ASV1016","ITS451",451,2174,13,14,0,0.034,2.5,0.04691,1,"Neocallimastigomycota","Neocallimastigomycetes","Neocallimastigales","Neocallimastigaceae","Piromyces","unidentified","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae","Lachnospiraceae"
"11","ASV10171","ITS1083",1083,1505,3,54,0,0.03,2.2,0.01558,1,"Ascomycota","Sordariomycetes","Sordariomycetes","Sordariomycetes","Sordariomycetes","Sordariomycetes","Bacteroidetes","Bacteroidia","Bacteroidales","M2PB4-65 termite group","uncultured prokaryote","uncultured prokaryote"
"12","ASV10171","ITS496",496,1505,3,54,0,0.03,2.2,0.01558,1,"Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","Bacteroidetes","Bacteroidia","Bacteroidales","M2PB4-65 termite group","uncultured prokaryote","uncultured prokaryote"
"13","ASV10171","ITS1092",1092,1505,3,54,0,0.03,2.2,0.01558,1,"Basidiomycota","Microbotryomycetes","Microbotryomycetes_ord_Incertae_sedis","Microbotryomycetes_fam_Incertae_sedis","Curvibasidium","Curvibasidium_cygneicollum","Bacteroidetes","Bacteroidia","Bacteroidales","M2PB4-65 termite group","uncultured prokaryote","uncultured prokaryote"
"14","ASV10171","ITS1026",1026,1505,4,54,0,0.041,3,0.00356,1,"Ascomycota","Dothideomycetes","Pleosporales","Pleosporales","Pleosporales","Pleosporales","Bacteroidetes","Bacteroidia","Bacteroidales","M2PB4-65 termite group","uncultured prokaryote","uncultured prokaryote"
"15","ASV10208","ITS608",608,1262,2,60,0,0.023,1.6,0.02968,1,"Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Moheibacter","Moheibacter stercoris"
"16","ASV10221","ITS329",329,1451,11,22,0,0.045,3.3,0.01338,1,"Ascomycota","Eurotiomycetes","Onygenales","Onygenales_fam_Incertae_sedis","Chrysosporium","Chrysosporium_synchronum","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas"
"17","ASV10221","ITS750",750,1451,8,22,0,0.033,2.4,0.04737,1,"Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_caesiellus","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas"
"18","ASV10221","ITS498",498,1451,8,22,0,0.033,2.4,0.04737,1,"Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_melanoconidium","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas"
"19","ASV10221","ITS335",335,1451,11,22,0,0.045,3.3,0.01338,1,"Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas"
"20","ASV10259","ITS1092",1092,1191,3,51,0,0.029,2.1,0.02476,1,"Basidiomycota","Microbotryomycetes","Microbotryomycetes_ord_Incertae_sedis","Microbotryomycetes_fam_Incertae_sedis","Curvibasidium","Curvibasidium_cygneicollum","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","uncultured","Chishuiella sp. YIM 102668"
"21","ASV10259","ITS133",133,1191,4,51,0,0.038,2.8,0.00672,1,"Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","uncultured","Chishuiella sp. YIM 102668"
"22","ASV10259","ITS496",496,1191,3,51,0,0.029,2.1,0.02476,1,"Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","uncultured","Chishuiella sp. YIM 102668"
"23","ASV10259","ITS1083",1083,1191,3,51,0,0.029,2.1,0.02476,1,"Ascomycota","Sordariomycetes","Sordariomycetes","Sordariomycetes","Sordariomycetes","Sordariomycetes","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","uncultured","Chishuiella sp. YIM 102668"
"24","ASV10262","ITS817",817,1241,6,37,0,0.042,3,0.01144,1,"Basidiomycota","Microbotryomycetes","Leucosporidiales","Leucosporidiaceae","Leucosporidium","Leucosporidium_creatinivorum","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","Fluviicola"
"25","ASV10262","ITS624",624,1241,6,37,0,0.042,3,0.01144,1,"Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Ophiosphaerella","Ophiosphaerella_aquatica","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","Fluviicola"
"26","ASV10285","ITS211",211,1849,25,9,0,0.042,3.1,0.01728,1,"Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Sarocladium","Sarocladium_zeae","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobiaceae","Rhizobiaceae"
