"","sp2_name","sp1_name","sp1","sp2","sp1_inc","sp2_inc","obs_cooccur","prob_cooccur","exp_cooccur","p_lt","p_gt","PhylumITS","ClassITS","OrderITS","FamilyITS","GenusITS","SpeciesITS","Phylum16S","Class16S","Order16S","Family16S","Genus16S","Species16S"
"1","ASV10463","ITS13",13,1246,47,53,47,0.823,45.3,1,0.01886,"Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporiaceae","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","uncultured bacterium"
"2","ASV10463","ITS9",9,1246,44,53,44,0.771,42.4,1,0.03704,"Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","unidentified","unidentified","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","uncultured bacterium"
"3","ASV10463","ITS14",14,1246,43,53,43,0.753,41.4,1,0.04444,"Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Mycosphaerella","Mycosphaerella_tassiana","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","uncultured bacterium"
"4","ASV10463","ITS7",7,1246,43,53,43,0.753,41.4,1,0.04444,"Ascomycota","Dothideomycetes","Capnodiales","unidentified","unidentified","unidentified","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","uncultured bacterium"
"5","ASV10644","ITS13",13,1249,47,51,46,0.792,43.6,0.99979,0.00792,"Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporiaceae","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Brevibacterium"
"6","ASV11236","ITS13",13,1183,47,51,46,0.792,43.6,0.99979,0.00792,"Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporiaceae","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacteriaceae","Corynebacteriaceae"
"7","ASV11236","ITS4",4,1183,52,51,50,0.877,48.2,0.99985,0.01182,"Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","unidentified","unidentified","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacteriaceae","Corynebacteriaceae"
"8","ASV11492","ITS7",7,1244,43,53,43,0.753,41.4,1,0.04444,"Ascomycota","Dothideomycetes","Capnodiales","unidentified","unidentified","unidentified","Actinobacteria","Actinobacteria","Micrococcales","Jonesiaceae","Jonesia","Jonesia denitrificans DSM 20603"
"9","ASV12862","ITS4",4,1321,52,48,47,0.825,45.4,0.99867,0.03976,"Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","unidentified","unidentified","Actinobacteria","Coriobacteriia","Coriobacteriales","uncultured","uncultured bacterium","uncultured bacterium"
"10","ASV1344","ITS2",2,1159,51,50,48,0.843,46.4,0.99852,0.0374,"Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planococcaceae","Planococcaceae"
