ID,Prob.BRDqPCR,Prob.HealthyqPCR,Prob.BRDITS,Prob.HealthyITS,predITS.2,predQPCR,visual,predicted
Dairy107,0.2,0.8,0.588235294,0.411764706,BRD,Healthy,BRD,V + ITS (BRD)
Dairy11,0.542857143,0.457142857,0.529411765,0.470588235,BRD,BRD,BRD,V + ITS (BRD)
Dairy114,0.6,0.4,0.647058824,0.352941176,BRD,BRD,BRD,V + ITS (BRD)
Dairy13,0.628571429,0.371428571,0.705882353,0.294117647,BRD,BRD,BRD,V + ITS (BRD)
Dairy131,0.6,0.4,0.529411765,0.470588235,BRD,BRD,BRD,V + ITS (BRD)
Dairy27,0.428571429,0.571428571,0.529411765,0.470588235,BRD,Healthy,BRD,V + ITS (BRD)
Dairy28,0.142857143,0.857142857,0.823529412,0.176470588,BRD,Healthy,BRD,V + ITS (BRD)
Dairy29,0.228571429,0.771428571,0.529411765,0.470588235,BRD,Healthy,BRD,V + ITS (BRD)
Dairy3,0.942857143,0.057142857,0.705882353,0.294117647,BRD,BRD,BRD,V + ITS (BRD)
Dairy65,0.542857143,0.457142857,0.529411765,0.470588235,BRD,BRD,BRD,V + ITS (BRD)
Dairy85,0.571428571,0.428571429,0.529411765,0.470588235,BRD,BRD,BRD,V + ITS (BRD)
Dairy93,0.142857143,0.857142857,0.529411765,0.470588235,BRD,Healthy,BRD,V + ITS (BRD)
Dairy105,0.628571429,0.371428571,0.352941176,0.647058824,Healthy,BRD,Healthy,V + ITS (Healthy)
Dairy112,0.542857143,0.457142857,0.058823529,0.941176471,Healthy,BRD,Healthy,V + ITS (Healthy)
Dairy120,0.085714286,0.914285714,0.352941176,0.647058824,Healthy,Healthy,Healthy,V + ITS (Healthy)
Dairy121,0.428571429,0.571428571,0.470588235,0.529411765,Healthy,Healthy,Healthy,V + ITS (Healthy)
Dairy17,0.228571429,0.771428571,0.411764706,0.588235294,Healthy,Healthy,Healthy,V + ITS (Healthy)
Dairy19,0.114285714,0.885714286,0.352941176,0.647058824,Healthy,Healthy,Healthy,V + ITS (Healthy)
Dairy21,0.142857143,0.857142857,0.411764706,0.588235294,Healthy,Healthy,Healthy,V + ITS (Healthy)
Dairy26,0.428571429,0.571428571,0.352941176,0.647058824,Healthy,Healthy,Healthy,V + ITS (Healthy)
Dairy45,0.571428571,0.428571429,0.352941176,0.647058824,Healthy,BRD,Healthy,V + ITS (Healthy)
Dairy5,0.457142857,0.542857143,0.294117647,0.705882353,Healthy,Healthy,Healthy,V + ITS (Healthy)
Dairy57,0.6,0.4,0.352941176,0.647058824,Healthy,BRD,Healthy,V + ITS (Healthy)
Dairy75,0.314285714,0.685714286,0.411764706,0.588235294,Healthy,Healthy,Healthy,V + ITS (Healthy)
Dairy8,0.085714286,0.914285714,0.411764706,0.588235294,Healthy,Healthy,Healthy,V + ITS (Healthy)
Dairy81,0.114285714,0.885714286,0.411764706,0.588235294,Healthy,Healthy,Healthy,V + ITS (Healthy)
Dairy99,0,1,0.352941176,0.647058824,Healthy,Healthy,Healthy,V + ITS (Healthy)
