ID,Classification,RFStatus
Dairy107,ITSBRD + V,BRD
Dairy27,ITSBRD + V,BRD
Dairy28,ITSBRD + V,BRD
Dairy29,ITSBRD + V,BRD
Dairy93,ITSBRD + V,BRD
Dairy108,ITSBRD no V,BRD
Dairy22,ITSBRD no V,BRD
Dairy24,ITSBRD no V,BRD
Dairy31,ITSBRD no V,BRD
Dairy4,ITSBRD no V,BRD
Dairy43,ITSBRD no V,BRD
Dairy83,ITSBRD no V,BRD
Dairy9,ITSBRD no V,BRD
Dairy120,ITSHealthy + V,Healthy
Dairy121,ITSHealthy + V,Healthy
Dairy17,ITSHealthy + V,Healthy
Dairy19,ITSHealthy + V,Healthy
Dairy21,ITSHealthy + V,Healthy
Dairy26,ITSHealthy + V,Healthy
Dairy5,ITSHealthy + V,Healthy
Dairy75,ITSHealthy + V,Healthy
Dairy8,ITSHealthy + V,Healthy
Dairy81,ITSHealthy + V,Healthy
Dairy99,ITSHealthy + V,Healthy
Dairy130,ITSHealthy no V,Healthy
Dairy49,ITSHealthy no V,Healthy
Dairy72,ITSHealthy no V,Healthy
Dairy74,ITSHealthy no V,Healthy
