ID,Classification,RFStatus
Dairy106,qPCR- BRD + V,BRD
Dairy129,qPCR- BRD + V,BRD
Dairy133,qPCR- BRD + V,BRD
Dairy16,qPCR- BRD + V,BRD
Dairy48,qPCR- BRD + V,BRD
Dairy50,qPCR- BRD + V,BRD
Dairy53,qPCR- BRD + V,BRD
Dairy7,qPCR- BRD + V,BRD
Dairy105,qPCR- BRD no V,BRD
Dairy112,qPCR- BRD no V,BRD
Dairy45,qPCR- BRD no V,BRD
Dairy57,qPCR- BRD no V,BRD
Dairy120,qPCR- Heathy + V,Healthy
Dairy121,qPCR- Heathy + V,Healthy
Dairy17,qPCR- Heathy + V,Healthy
Dairy19,qPCR- Heathy + V,Healthy
Dairy21,qPCR- Heathy + V,Healthy
Dairy26,qPCR- Heathy + V,Healthy
Dairy5,qPCR- Heathy + V,Healthy
Dairy75,qPCR- Heathy + V,Healthy
Dairy8,qPCR- Heathy + V,Healthy
Dairy81,qPCR- Heathy + V,Healthy
Dairy99,qPCR- Heathy + V,Healthy
Dairy130,qPCR- Heathy no V,Healthy
Dairy49,qPCR- Heathy no V,Healthy
Dairy72,qPCR- Heathy no V,Healthy
Dairy74,qPCR- Heathy no V,Healthy
