ASV,classification
Issatchenkia-ASV1011,NoSig
Issatchenkia-ASV102,NoSig
Issatchenkia-ASV1056,NoSig
Issatchenkia-ASV1072,NoSig
Issatchenkia-ASV1082,NoSig
Issatchenkia-ASV1106,NoSig
Issatchenkia-ASV1112,NoSig
Issatchenkia-ASV112,NoSig
Issatchenkia-ASV113,NoSig
Issatchenkia-ASV1148,NoSig
Issatchenkia-ASV116,NoSig
Issatchenkia-ASV118,NoSig
Issatchenkia-ASV120,NoSig
Issatchenkia-ASV1200,NoSig
Issatchenkia-ASV1219,NoSig
Issatchenkia-ASV1221,NoSig
Issatchenkia-ASV123,NoSig
Issatchenkia-ASV1231,NoSig
Issatchenkia-ASV1238,NoSig
Issatchenkia-ASV1240,NoSig
Issatchenkia-ASV1252,NoSig
Issatchenkia-ASV127,NoSig
Issatchenkia-ASV1270,NoSig
Issatchenkia-ASV129,HighBRD
Issatchenkia-ASV1331,NoSig
Issatchenkia-ASV134,NoSig
Issatchenkia-ASV135,NoSig
Issatchenkia-ASV1372,NoSig
Issatchenkia-ASV138,NoSig
Issatchenkia-ASV139,NoSig
Issatchenkia-ASV140,NoSig
Issatchenkia-ASV1428,NoSig
Issatchenkia-ASV1429,NoSig
Issatchenkia-ASV143,NoSig
Issatchenkia-ASV1456,NoSig
Issatchenkia-ASV1469,NoSig
Issatchenkia-ASV147,NoSig
Issatchenkia-ASV148,NoSig
Issatchenkia-ASV1486,NoSig
Issatchenkia-ASV1493,NoSig
Issatchenkia-ASV150,NoSig
Issatchenkia-ASV152,NoSig
Issatchenkia-ASV1526,NoSig
Issatchenkia-ASV154,NoSig
Issatchenkia-ASV158,NoSig
Issatchenkia-ASV159,NoSig
Issatchenkia-ASV1591,NoSig
Issatchenkia-ASV160,NoSig
Issatchenkia-ASV1616,NoSig
Issatchenkia-ASV1621,NoSig
Issatchenkia-ASV1625,NoSig
Issatchenkia-ASV1639,NoSig
Issatchenkia-ASV165,NoSig
Issatchenkia-ASV1653,NoSig
Issatchenkia-ASV167,NoSig
Issatchenkia-ASV168,NoSig
Issatchenkia-ASV1700,NoSig
Issatchenkia-ASV171,NoSig
Issatchenkia-ASV172,NoSig
Issatchenkia-ASV1722,NoSig
Issatchenkia-ASV173,NoSig
Issatchenkia-ASV174,NoSig
Issatchenkia-ASV1740,NoSig
Issatchenkia-ASV175,NoSig
Issatchenkia-ASV176,NoSig
Issatchenkia-ASV178,NoSig
Issatchenkia-ASV1780,NoSig
Issatchenkia-ASV1789,NoSig
Issatchenkia-ASV1807,NoSig
Issatchenkia-ASV181,NoSig
Issatchenkia-ASV1811,NoSig
Issatchenkia-ASV183,NoSig
Issatchenkia-ASV1835,NoSig
Issatchenkia-ASV184,NoSig
Issatchenkia-ASV185,NoSig
Issatchenkia-ASV186,NoSig
Issatchenkia-ASV188,NoSig
Issatchenkia-ASV189,NoSig
Issatchenkia-ASV19,NoSig
Issatchenkia-ASV191,HighHealthy
Issatchenkia-ASV1919,NoSig
Issatchenkia-ASV195,NoSig
Issatchenkia-ASV197,NoSig
Issatchenkia-ASV198,NoSig
Issatchenkia-ASV199,NoSig
Issatchenkia-ASV200,NoSig
Issatchenkia-ASV2028,NoSig
Issatchenkia-ASV203,NoSig
Issatchenkia-ASV2038,NoSig
Issatchenkia-ASV2039,NoSig
Issatchenkia-ASV2062,NoSig
Issatchenkia-ASV207,NoSig
Issatchenkia-ASV2085,NoSig
Issatchenkia-ASV2093,NoSig
Issatchenkia-ASV2105,NoSig
Issatchenkia-ASV2112,NoSig
Issatchenkia-ASV214,NoSig
Issatchenkia-ASV2149,NoSig
Issatchenkia-ASV215,NoSig
Issatchenkia-ASV218,NoSig
Issatchenkia-ASV2187,NoSig
Issatchenkia-ASV220,NoSig
Issatchenkia-ASV2212,NoSig
Issatchenkia-ASV2217,NoSig
Issatchenkia-ASV222,HighBRD
Issatchenkia-ASV226,NoSig
Issatchenkia-ASV2268,NoSig
Issatchenkia-ASV2274,NoSig
Issatchenkia-ASV2280,NoSig
Issatchenkia-ASV2281,NoSig
Issatchenkia-ASV231,NoSig
Issatchenkia-ASV232,NoSig
Issatchenkia-ASV2320,NoSig
Issatchenkia-ASV235,NoSig
Issatchenkia-ASV2350,NoSig
Issatchenkia-ASV2360,NoSig
Issatchenkia-ASV237,NoSig
Issatchenkia-ASV24,HighHealthy
Issatchenkia-ASV2401,NoSig
Issatchenkia-ASV2408,NoSig
Issatchenkia-ASV242,NoSig
Issatchenkia-ASV2425,NoSig
Issatchenkia-ASV2454,NoSig
Issatchenkia-ASV2477,NoSig
Issatchenkia-ASV2490,NoSig
Issatchenkia-ASV2501,NoSig
Issatchenkia-ASV251,NoSig
