ASV,classification
Trichosporon-ASV16,HighBRD
Trichosporon-ASV45,HighBRD
Trichosporon-ASV179,HighBRD
Trichosporon-ASV33,HighHealthy
Trichosporon-ASV1,HighHealthy
Trichosporon-ASV101,HighHealthy
Trichosporon-ASV2433,NoSig
Trichosporon-ASV1761,NoSig
Trichosporon-ASV5190,NoSig
Trichosporon-ASV2737,NoSig
Trichosporon-ASV3489,NoSig
Trichosporon-ASV6353,NoSig
Trichosporon-ASV4908,NoSig
Trichosporon-ASV2907,NoSig
Trichosporon-ASV1641,NoSig
Trichosporon-ASV1422,NoSig
Trichosporon-ASV2363,NoSig
Trichosporon-ASV2188,NoSig
Trichosporon-ASV440,NoSig
Trichosporon-ASV3277,NoSig
Trichosporon-ASV3032,NoSig
Trichosporon-ASV3205,NoSig
Trichosporon-ASV744,NoSig
Trichosporon-ASV879,NoSig
Trichosporon-ASV385,NoSig
Trichosporon-ASV2739,NoSig
Trichosporon-ASV2814,NoSig
Trichosporon-ASV1830,NoSig
Trichosporon-ASV1594,NoSig
Trichosporon-ASV681,NoSig
Trichosporon-ASV1415,NoSig
Trichosporon-ASV1042,NoSig
Trichosporon-ASV2216,NoSig
Trichosporon-ASV1923,NoSig
Trichosporon-ASV2387,NoSig
Trichosporon-ASV759,NoSig
Trichosporon-ASV751,NoSig
Trichosporon-ASV1395,NoSig
Trichosporon-ASV841,NoSig
Trichosporon-ASV3135,NoSig
Trichosporon-ASV482,NoSig
Trichosporon-ASV647,NoSig
Trichosporon-ASV1867,NoSig
Trichosporon-ASV1976,NoSig
Trichosporon-ASV4343,NoSig
Trichosporon-ASV2050,NoSig
Trichosporon-ASV1038,NoSig
Trichosporon-ASV807,NoSig
Trichosporon-ASV920,NoSig
Trichosporon-ASV1109,NoSig
Trichosporon-ASV1324,NoSig
Trichosporon-ASV4047,NoSig
Trichosporon-ASV1654,NoSig
Trichosporon-ASV3556,NoSig
Trichosporon-ASV3174,NoSig
Trichosporon-ASV753,NoSig
Trichosporon-ASV2047,NoSig
Trichosporon-ASV2878,NoSig
Trichosporon-ASV1094,NoSig
Trichosporon-ASV1895,NoSig
Trichosporon-ASV2790,NoSig
Trichosporon-ASV2829,NoSig
Trichosporon-ASV3890,NoSig
Trichosporon-ASV2750,NoSig
Trichosporon-ASV3081,NoSig
Trichosporon-ASV4189,NoSig
Trichosporon-ASV3413,NoSig
Trichosporon-ASV3683,NoSig
Trichosporon-ASV1902,NoSig
Trichosporon-ASV586,NoSig
Trichosporon-ASV3188,NoSig
Trichosporon-ASV3834,NoSig
Trichosporon-ASV4608,NoSig
Trichosporon-ASV2458,NoSig
Trichosporon-ASV1199,NoSig
Trichosporon-ASV1824,NoSig
Trichosporon-ASV5383,NoSig
Trichosporon-ASV2697,NoSig
Trichosporon-ASV1891,NoSig
Trichosporon-ASV877,NoSig
Trichosporon-ASV2402,NoSig
Trichosporon-ASV931,NoSig
Trichosporon-ASV1129,NoSig
Trichosporon-ASV1271,NoSig
Trichosporon-ASV1525,NoSig
Trichosporon-ASV1152,NoSig
Trichosporon-ASV533,NoSig
Trichosporon-ASV1414,NoSig
Trichosporon-ASV669,NoSig
Trichosporon-ASV1160,NoSig
Trichosporon-ASV2391,NoSig
Trichosporon-ASV1347,NoSig
Trichosporon-ASV1024,NoSig
Trichosporon-ASV243,NoSig
Trichosporon-ASV3158,NoSig
Trichosporon-ASV1195,NoSig
Trichosporon-ASV610,NoSig
Trichosporon-ASV720,NoSig
Trichosporon-ASV2627,NoSig
Trichosporon-ASV731,NoSig
Trichosporon-ASV2206,NoSig
Trichosporon-ASV1437,NoSig
Trichosporon-ASV4749,NoSig
Trichosporon-ASV3132,NoSig
Trichosporon-ASV3606,NoSig
Trichosporon-ASV1066,NoSig
Trichosporon-ASV995,NoSig
Trichosporon-ASV4750,NoSig
Trichosporon-ASV2971,NoSig
Trichosporon-ASV5628,NoSig
Trichosporon-ASV5313,NoSig
Trichosporon-ASV6186,NoSig
Trichosporon-ASV3093,NoSig
Trichosporon-ASV4089,NoSig
Trichosporon-ASV1637,NoSig
Trichosporon-ASV1272,NoSig
Trichosporon-ASV921,NoSig
Trichosporon-ASV3305,NoSig
Trichosporon-ASV3394,NoSig
Trichosporon-ASV2315,NoSig
Trichosporon-ASV968,NoSig
Trichosporon-ASV1601,NoSig
Trichosporon-ASV2904,NoSig
Trichosporon-ASV953,NoSig
Trichosporon-ASV2683,NoSig
Trichosporon-ASV2730,NoSig
Trichosporon-ASV1717,NoSig
Trichosporon-ASV4491,NoSig
Trichosporon-ASV3542,NoSig
Trichosporon-ASV5747,NoSig
Trichosporon-ASV4954,NoSig
Trichosporon-ASV3408,NoSig
Trichosporon-ASV4840,NoSig
Trichosporon-ASV5326,NoSig
Trichosporon-ASV3378,NoSig
Trichosporon-ASV5192,NoSig
Trichosporon-ASV1827,NoSig
Trichosporon-ASV5121,NoSig
Trichosporon-ASV2934,NoSig
Trichosporon-ASV4627,NoSig
Trichosporon-ASV1064,NoSig
Trichosporon-ASV4191,NoSig
Trichosporon-ASV5802,NoSig
Trichosporon-ASV905,NoSig
Trichosporon-ASV3566,NoSig
Trichosporon-ASV3318,NoSig
Trichosporon-ASV5150,NoSig
Trichosporon-ASV1400,NoSig
Trichosporon-ASV5943,NoSig
Trichosporon-ASV4654,NoSig
Trichosporon-ASV5339,NoSig
Trichosporon-ASV1014,NoSig
Trichosporon-ASV2646,NoSig
Trichosporon-ASV2123,NoSig
Trichosporon-ASV1327,NoSig
Trichosporon-ASV1704,NoSig
Trichosporon-ASV1489,NoSig
Trichosporon-ASV3430,NoSig
Trichosporon-ASV1982,NoSig
Trichosporon-ASV1600,NoSig
Trichosporon-ASV3787,NoSig
Trichosporon-ASV417,NoSig
Trichosporon-ASV1477,NoSig
Trichosporon-ASV1560,NoSig
Trichosporon-ASV941,NoSig
Trichosporon-ASV4071,NoSig
Trichosporon-ASV3509,NoSig
Trichosporon-ASV1090,NoSig
Trichosporon-ASV722,NoSig
Trichosporon-ASV255,NoSig
Trichosporon-ASV2524,NoSig
Trichosporon-ASV651,NoSig
Trichosporon-ASV1642,NoSig
Trichosporon-ASV2378,NoSig
Trichosporon-ASV1416,NoSig
Trichosporon-ASV2574,NoSig
Trichosporon-ASV5571,NoSig
Trichosporon-ASV3143,NoSig
Trichosporon-ASV763,NoSig
Trichosporon-ASV1423,NoSig
Trichosporon-ASV3253,NoSig
Trichosporon-ASV1127,NoSig
Trichosporon-ASV3362,NoSig
Trichosporon-ASV1068,NoSig
Trichosporon-ASV725,NoSig
Trichosporon-ASV1967,NoSig
Trichosporon-ASV4632,NoSig
Trichosporon-ASV3333,NoSig
Trichosporon-ASV4378,NoSig
Trichosporon-ASV2284,NoSig
Trichosporon-ASV1153,NoSig
Trichosporon-ASV3015,NoSig
Trichosporon-ASV1008,NoSig
Trichosporon-ASV652,NoSig
Trichosporon-ASV1311,NoSig
Trichosporon-ASV2519,NoSig
Trichosporon-ASV5985,NoSig
Trichosporon-ASV1102,NoSig
Trichosporon-ASV1896,NoSig
Trichosporon-ASV1320,NoSig
Trichosporon-ASV1606,NoSig
Trichosporon-ASV2768,NoSig
Trichosporon-ASV4403,NoSig
Trichosporon-ASV2783,NoSig
Trichosporon-ASV4835,NoSig
Trichosporon-ASV2029,NoSig
Trichosporon-ASV1696,NoSig
Trichosporon-ASV2651,NoSig
Trichosporon-ASV49,NoSig
Trichosporon-ASV2815,NoSig
Trichosporon-ASV5157,NoSig
Trichosporon-ASV3281,NoSig
Trichosporon-ASV351,NoSig
Trichosporon-ASV4256,NoSig
Trichosporon-ASV4682,NoSig
Trichosporon-ASV3622,NoSig
Trichosporon-ASV3913,NoSig
Trichosporon-ASV5275,NoSig
Trichosporon-ASV2565,NoSig
Trichosporon-ASV4556,NoSig
Trichosporon-ASV5590,NoSig
Trichosporon-ASV4387,NoSig
Trichosporon-ASV31,NoSig
Trichosporon-ASV2287,NoSig
Trichosporon-ASV5025,NoSig
Trichosporon-ASV1435,NoSig
Trichosporon-ASV3144,NoSig
Trichosporon-ASV4043,NoSig
Trichosporon-ASV2997,NoSig
Trichosporon-ASV2515,NoSig
Trichosporon-ASV1198,NoSig
Trichosporon-ASV4405,NoSig
Trichosporon-ASV3957,NoSig
Trichosporon-ASV5200,NoSig
Trichosporon-ASV5630,NoSig
Trichosporon-ASV4341,NoSig
Trichosporon-ASV2575,NoSig
Trichosporon-ASV2465,NoSig
Trichosporon-ASV1681,NoSig
Trichosporon-ASV1763,NoSig
Trichosporon-ASV4656,NoSig
Trichosporon-ASV1866,NoSig
Trichosporon-ASV3820,NoSig
Trichosporon-ASV4093,NoSig
Trichosporon-ASV4519,NoSig
Trichosporon-ASV3325,NoSig
Trichosporon-ASV1937,NoSig
Trichosporon-ASV1245,NoSig
Trichosporon-ASV2916,NoSig
Trichosporon-ASV4481,NoSig
Trichosporon-ASV1029,NoSig
Trichosporon-ASV375,NoSig
Trichosporon-ASV2100,NoSig
Trichosporon-ASV2329,NoSig
Trichosporon-ASV2213,NoSig
Trichosporon-ASV4837,NoSig
Trichosporon-ASV3836,NoSig
Trichosporon-ASV5407,NoSig
Trichosporon-ASV4453,NoSig
Trichosporon-ASV28,NoSig
Trichosporon-ASV3973,NoSig
Trichosporon-ASV4206,NoSig
Trichosporon-ASV41,NoSig
Trichosporon-ASV2080,NoSig
Trichosporon-ASV3190,NoSig
Trichosporon-ASV409,NoSig
Trichosporon-ASV151,NoSig
Trichosporon-ASV3917,NoSig
Trichosporon-ASV76,NoSig
Trichosporon-ASV131,NoSig
Trichosporon-ASV1965,NoSig
Trichosporon-ASV108,NoSig
Trichosporon-ASV3587,NoSig
Trichosporon-ASV166,NoSig
Trichosporon-ASV5213,NoSig
Trichosporon-ASV3432,NoSig
Trichosporon-ASV2700,NoSig
Trichosporon-ASV3168,NoSig
Trichosporon-ASV5389,NoSig
Trichosporon-ASV122,NoSig
Trichosporon-ASV4144,NoSig
Trichosporon-ASV5325,NoSig
Trichosporon-ASV63,NoSig
Trichosporon-ASV2765,NoSig
Trichosporon-ASV126,NoSig
Trichosporon-ASV4557,NoSig
Trichosporon-ASV4225,NoSig
Trichosporon-ASV156,NoSig
Trichosporon-ASV1892,NoSig
Trichosporon-ASV225,NoSig
Trichosporon-ASV23,NoSig
