	chao1
Dairy10	64.0
Dairy100	93.0
Dairy101	136.0
Dairy102	182.33333333333334
Dairy103	226.66666666666666
Dairy104	108.0
Dairy105	81.5
Dairy106	87.0
Dairy107	93.0
Dairy108	74.0
Dairy109	109.0
Dairy11	57.0
Dairy110	69.0
Dairy111	88.25
Dairy112	189.0
Dairy113	114.0
Dairy114	11.0
Dairy116	115.0
Dairy117	136.0
Dairy118	109.0
Dairy119	186.0
Dairy12	63.0
Dairy120	97.0
Dairy121	139.33333333333334
Dairy122	61.0
Dairy124	109.33333333333333
Dairy125	124.0
Dairy126	58.0
Dairy127	93.0
Dairy128	58.0
Dairy129	86.0
Dairy13	65.0
Dairy131	99.0
Dairy132	127.0
Dairy133	28.0
Dairy14	89.0
Dairy15	85.0
Dairy16	75.0
Dairy17	116.0
Dairy18	26.0
Dairy19	118.33333333333333
Dairy2	128.83333333333334
Dairy20	124.0
Dairy21	85.0
Dairy22	120.6
Dairy23	100.33333333333333
Dairy24	24.0
Dairy26	123.0
Dairy27	131.0
Dairy28	107.0
Dairy29	152.42857142857142
Dairy3	70.0
Dairy30	120.0
Dairy31	154.375
Dairy32	106.0
Dairy33	131.0
Dairy34	148.0
Dairy36	183.2
Dairy37	126.0
Dairy38	69.0
Dairy39	67.5
Dairy4	153.0
Dairy40	50.0
Dairy41	89.0
Dairy42	91.0
Dairy43	132.875
Dairy44	189.875
Dairy45	84.0
Dairy46	95.0
Dairy47	182.0909090909091
Dairy48	123.5
Dairy49	180.0
Dairy5	62.0
Dairy50	214.0
Dairy51	288.0
Dairy52	282.5625
Dairy53	173.25
Dairy54	105.2
Dairy55	19.0
Dairy56	188.8846153846154
Dairy57	100.33333333333333
Dairy58	98.0
Dairy59	94.75
Dairy6	73.0
Dairy60	60.0
Dairy61	44.0
Dairy62	163.0
Dairy63	174.75
Dairy64	116.0
Dairy65	66.5
Dairy66	97.0
Dairy67	132.25
Dairy68	111.1
Dairy69	174.0
Dairy7	76.33333333333333
Dairy70	65.0
Dairy71	153.25
Dairy72	105.0
Dairy73	92.0
Dairy74	131.2
Dairy75	182.0
Dairy76	88.0
Dairy77	128.25
Dairy78	107.0
Dairy79	123.0
Dairy8	64.0
Dairy80	66.0
Dairy81	166.33333333333334
Dairy82	76.0
Dairy83	147.75
Dairy84	85.0
Dairy85	62.0
Dairy86	94.0
Dairy87	129.5
Dairy88	141.0
Dairy89	75.0
Dairy9	72.0
Dairy90	138.0
Dairy91	187.54545454545453
Dairy93	131.0
Dairy94	100.0
Dairy95	48.0
Dairy96	116.2
Dairy97	90.0
Dairy98	85.33333333333333
Dairy99	123.0
