	pielou_e
Dairy10	0.3117652343642101
Dairy100	0.8015481129383596
Dairy101	0.6961360052994308
Dairy102	0.6525434879364292
Dairy103	0.5392042016379873
Dairy104	0.6289623199721908
Dairy105	0.7380451704360937
Dairy106	0.705775157586024
Dairy107	0.63539236918436
Dairy108	0.7995979617377523
Dairy109	0.7567483003808594
Dairy11	0.6416739594091934
Dairy110	0.7847010443278201
Dairy111	0.7563224879754752
Dairy112	0.735753976242755
Dairy113	0.7748894836203897
Dairy114	0.6269859864510734
Dairy116	0.7453955658009904
Dairy117	0.6851198580723719
Dairy118	0.7367408123593493
Dairy119	0.7020438584368462
Dairy12	0.5555540785923716
Dairy120	0.7251434429319019
Dairy121	0.581493944031951
Dairy122	0.6304022770664042
Dairy124	0.7832743843612604
Dairy125	0.7616296779435092
Dairy126	0.76104562112468
Dairy127	0.6787799718315294
Dairy128	0.5955734134141603
Dairy129	0.7845370200986562
Dairy13	0.5695852651591434
Dairy131	0.7245188583558027
Dairy132	0.7500993939634771
Dairy133	0.5104109250598813
Dairy14	0.5566814266789136
Dairy15	0.5210929743550109
Dairy16	0.4611091213304089
Dairy17	0.5777020941922406
Dairy18	0.8108179476918325
Dairy19	0.34099664872798835
Dairy2	0.1902364610221641
Dairy20	0.6893184147739453
Dairy21	0.8273227690138489
Dairy22	0.6684602440021404
Dairy23	0.6838216156616945
Dairy24	0.18004486561893726
Dairy26	0.5663783253082303
Dairy27	0.7718386456185597
Dairy28	0.7119066056990824
Dairy29	0.6376633454912871
Dairy3	0.7194094642258293
Dairy30	0.7586731927712236
Dairy31	0.7097265476712128
Dairy32	0.5614908662838745
Dairy33	0.7603183134005785
Dairy34	0.523555126049995
Dairy36	0.6538369084018301
Dairy37	0.7221579989571523
Dairy38	0.7692872388751396
Dairy39	0.40615872894235516
Dairy4	0.5953160039660046
Dairy40	0.3714841498073316
Dairy41	0.7145176933048777
Dairy42	0.7804316832436771
Dairy43	0.4440493004613925
Dairy44	0.6285220761245588
Dairy45	0.7180034506852233
Dairy46	0.6906396378273546
Dairy47	0.7149202751830538
Dairy48	0.6471076848084036
Dairy49	0.5783022787329604
Dairy5	0.4301408287121031
Dairy50	0.4880024280638606
Dairy51	0.6220712472577247
Dairy52	0.6969416074974132
Dairy53	0.7082936048319061
Dairy54	0.45233297261738964
Dairy55	0.2803916925731283
Dairy56	0.5554958972963572
Dairy57	0.6002150749772731
Dairy58	0.4597367587265986
Dairy59	0.36669485116332284
Dairy6	0.43058712800787435
Dairy60	0.7135733645825166
Dairy61	0.732293851064137
Dairy62	0.6545522025675561
Dairy63	0.7253020405151761
Dairy64	0.6372805734194636
Dairy65	0.41544151233029664
Dairy66	0.701670329360839
Dairy67	0.680485940136537
Dairy68	0.5847662238429158
Dairy69	0.6289345908084288
Dairy7	0.6469324111190531
Dairy70	0.7220858994377557
Dairy71	0.5646336919291548
Dairy72	0.7328736510562255
Dairy73	0.5113086437808615
Dairy74	0.5719408221437668
Dairy75	0.6573149963905426
Dairy76	0.41264326610845087
Dairy77	0.593762551999385
Dairy78	0.7626011110082362
Dairy79	0.6767614260065782
Dairy8	0.693635335318274
Dairy80	0.6827624014448762
Dairy81	0.6673180412177927
Dairy82	0.686579922019668
Dairy83	0.5504170626513052
Dairy84	0.7002081529467498
Dairy85	0.7300817976243512
Dairy86	0.7175073897996773
Dairy87	0.6355632609760163
Dairy88	0.5725862630316956
Dairy89	0.6945312835345203
Dairy9	0.8049965297596584
Dairy90	0.6095957866032841
Dairy91	0.5518374282023408
Dairy93	0.7021815599223475
Dairy94	0.6850344245896102
Dairy95	0.5812184298797136
Dairy96	0.5746246569470308
Dairy97	0.6497640243947491
Dairy98	0.6684583965781764
Dairy99	0.6265590427365293
