	observed_otus
Dairy10	63
Dairy100	93
Dairy101	136
Dairy102	179
Dairy103	223
Dairy104	108
Dairy105	81
Dairy106	87
Dairy107	93
Dairy108	74
Dairy109	108
Dairy11	57
Dairy110	69
Dairy111	88
Dairy112	187
Dairy113	114
Dairy114	11
Dairy116	114
Dairy117	136
Dairy118	109
Dairy119	186
Dairy12	63
Dairy120	97
Dairy121	139
Dairy122	61
Dairy124	109
Dairy125	124
Dairy126	58
Dairy127	93
Dairy128	58
Dairy129	86
Dairy13	65
Dairy131	99
Dairy132	127
Dairy133	28
Dairy14	89
Dairy15	85
Dairy16	72
Dairy17	116
Dairy18	26
Dairy19	118
Dairy2	123
Dairy20	124
Dairy21	85
Dairy22	120
Dairy23	100
Dairy24	24
Dairy26	117
Dairy27	131
Dairy28	107
Dairy29	152
Dairy3	70
Dairy30	120
Dairy31	154
Dairy32	105
Dairy33	131
Dairy34	146
Dairy36	182
Dairy37	126
Dairy38	69
Dairy39	67
Dairy4	153
Dairy40	49
Dairy41	89
Dairy42	91
Dairy43	131
Dairy44	188
Dairy45	84
Dairy46	95
Dairy47	182
Dairy48	122
Dairy49	174
Dairy5	62
Dairy50	204
Dairy51	269
Dairy52	276
Dairy53	173
Dairy54	104
Dairy55	19
Dairy56	183
Dairy57	100
Dairy58	98
Dairy59	93
Dairy6	73
Dairy60	60
Dairy61	44
Dairy62	163
Dairy63	174
Dairy64	110
Dairy65	66
Dairy66	97
Dairy67	132
Dairy68	109
Dairy69	174
Dairy7	76
Dairy70	65
Dairy71	152
Dairy72	105
Dairy73	92
Dairy74	130
Dairy75	181
Dairy76	88
Dairy77	128
Dairy78	107
Dairy79	123
Dairy8	64
Dairy80	66
Dairy81	166
Dairy82	76
Dairy83	147
Dairy84	85
Dairy85	62
Dairy86	94
Dairy87	128
Dairy88	140
Dairy89	75
Dairy9	72
Dairy90	138
Dairy91	185
Dairy93	131
Dairy94	100
Dairy95	48
Dairy96	116
Dairy97	90
Dairy98	85
Dairy99	123
