ASV,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Phylum,Class,Order,Family,Genus,Species,SpeciesASV,Confidence,OTUs,High_low,,,
ASV37,15.55488829,5.068336816,0.449250479,11.28176163,1.61E-29,5.05E-27,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,Issatchenkia orientalis-ASV37,0.9713814,e24a95e06188766162a3ef6f9f12ed77,High in BRD,,,
ASV119,21.49821818,4.007059535,0.451824903,8.868611512,7.41E-19,7.73E-17,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium sporotrichioides,Fusarium sporotrichioides-ASV119,0.9984513,1c03bb88fa2df3b1b1f596e79c041e4c,High in BRD,,,
ASV45,7.549387144,3.963862621,0.413294855,9.59088305,8.73E-22,1.82E-19,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon,Trichosporon,Trichosporon-ASV45,0.8780362,3d3eb1f9069a37d486ac1fa990e28bbc,High in BRD,,Alternaria metachromatica-ASV617,1
ASV16,4.389379925,3.090746948,0.383117546,8.067359425,7.18E-16,3.75E-14,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon,Trichosporon,Trichosporon-ASV16,0.8912038,0cfe6d56af4b52beab68e06919c840a6,High in BRD,,Apiotrichum-ASV406,2
ASV129,3.695963677,2.800083757,0.371612214,7.534961586,4.88E-14,1.91E-12,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,Issatchenkia orientalis-ASV129,0.9547584,b60387bd41ec01f25d24656f7bbc7bcd,High in BRD,,Aspergillus sydowii-ASV882,1
ASV179,3.520721205,2.71631491,0.36819642,7.377352855,1.61E-13,5.95E-12,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon,Trichosporon,Trichosporon-ASV179,0.8709176,9c104e3c488ce3b1fb1d4ee0adf05eee,High in BRD,,Capnodiales-ASV29,2
ASV222,3.22599523,2.563439459,0.361831982,7.084612711,1.39E-12,4.85E-11,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,Issatchenkia orientalis-ASV222,0.987801,ffe5f901ef882ab039b36fa08f7ecd9d,High in BRD,,Cladosporiaceae-ASV929,1
ASV406,2.763921575,2.285466428,0.347952347,6.568331685,5.09E-11,1.31E-09,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum,Apiotrichum-ASV406,0.7323073,c704db855596b8cf952d5256d4b4549f,High in BRD,,Fungi-ASV263,1
ASV840,2.644374905,2.203896846,0.335654982,6.565958996,5.17E-11,1.31E-09,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella tassiana,Mycosphaerella tassiana-ASV840,0.9999355,ac5b6432f179e6b1a3e0e07ea75e8b1f,High in BRD,,Fusarium sporotrichioides-ASV119,1
ASV29,89.37737918,-2.04679168,0.559617204,-3.657485271,0.000254702,0.001411003,Ascomycota,Dothideomycetes,Capnodiales,Capnodiales,Capnodiales,Capnodiales,Capnodiales-ASV29,0.958806,05be3aa6f5f991187b65b2b0eb35bc6d,High in Healthy,,Hydropisphaera fungicola-ASV284,1
