"","Phylum","Class","Order","Family","Genus","Species","Confidence","OTUs"
"ITS1","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified","0.8879866","770599409edc54f1a2c297cb4f643510"
"ITS2","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria","0.9991579","7b07c4fc121357bf2ded21e06548e140"
"ITS3","Ascomycota","Saccharomycetes","Saccharomycetales","Cephaloascaceae","Cephaloascus","Cephaloascus_fragrans","1.0000000","24d02acc7bf2631d9ee429fd4b22fb9e"
"ITS4","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","unidentified","unidentified","0.7119889","1d05f3172cbb0639c47c4c66f19ccd27"
"ITS5","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium_sphaerospermum","0.8564589","ca4a2845f89bfe789b5d710cdb5bbb50"
"ITS6","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Kluyveromyces","Kluyveromyces_marxianus","0.9999999","08718e5ec1eeab4d3367b9a71d1bf65b"
"ITS7","Ascomycota","Dothideomycetes","Capnodiales","unidentified","unidentified","unidentified","0.9220760","228bfec88b08219c6ce936888b835e9e"
"ITS8","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified","0.8856343","48786f63bb8451b02d6cfc0e227cca6f"
"ITS9","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","unidentified","unidentified","0.9298892","dc02322eb9614f3704fcc7e4b3b122c3"
"ITS10","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Agaricostilbaceae","Sterigmatomyces","Sterigmatomyces_halophilus","1.0000000","a5eceb9f3ed164f343906a847e8b8818"
"ITS11","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified","0.8511961","ca35b68827f2e3ee9c84ea8ffca6bb21"
"ITS12","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified","0.8760165","970e6b96ad354242e44b9a3ba5dfd495"
"ITS13","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporiaceae","0.9827970","8e0372cc0cf9735c1a2699690185daa1"
"ITS14","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Mycosphaerella","Mycosphaerella_tassiana","0.9999800","4baf357c81be5b064eb52e9f40997873"
"ITS15","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum","Exserohilum_turcicum","0.9999830","28f3852df2cf2aa0454f1b528614823a"
